Date,Open,High,Low,Close,Adj Close,Volume
01-04-2022,47.34,47.34,47.34,47.34,47.34,0
04-04-2022,47.439999,47.439999,47.439999,47.439999,47.439999,0
05-04-2022,46.939999,46.939999,46.939999,46.939999,46.939999,0
06-04-2022,46.700001,46.700001,46.700001,46.700001,46.700001,0
07-04-2022,46.84,46.84,46.84,46.84,46.84,0
08-04-2022,46.93,46.93,46.93,46.93,46.93,0
11-04-2022,46.470001,46.470001,46.470001,46.470001,46.470001,0
12-04-2022,46.330002,46.330002,46.330002,46.330002,46.330002,0
13-04-2022,46.860001,46.860001,46.860001,46.860001,46.860001,0
14-04-2022,46.529999,46.529999,46.529999,46.529999,46.529999,0
18-04-2022,46.419998,46.419998,46.419998,46.419998,46.419998,0
19-04-2022,47.25,47.25,47.25,47.25,47.25,0
20-04-2022,47.540001,47.540001,47.540001,47.540001,47.540001,0
21-04-2022,46.849998,46.849998,46.849998,46.849998,46.849998,0
22-04-2022,45.57,45.57,45.57,45.57,45.57,0
25-04-2022,45.709999,45.709999,45.709999,45.709999,45.709999,0
26-04-2022,44.610001,44.610001,44.610001,44.610001,44.610001,0
27-04-2022,44.68,44.68,44.68,44.68,44.68,0
28-04-2022,45.490002,45.490002,45.490002,45.490002,45.490002,0
29-04-2022,44.099998,44.099998,44.099998,44.099998,44.099998,0
02-05-2022,44.200001,44.200001,44.200001,44.200001,44.200001,0
03-05-2022,44.580002,44.580002,44.580002,44.580002,44.580002,0
04-05-2022,45.82,45.82,45.82,45.82,45.82,0
05-05-2022,44.43,44.43,44.43,44.43,44.43,0
06-05-2022,44.029999,44.029999,44.029999,44.029999,44.029999,0
09-05-2022,42.709999,42.709999,42.709999,42.709999,42.709999,0
10-05-2022,42.599998,42.599998,42.599998,42.599998,42.599998,0
11-05-2022,42.049999,42.049999,42.049999,42.049999,42.049999,0
12-05-2022,42.220001,42.220001,42.220001,42.220001,42.220001,0
13-05-2022,43.200001,43.200001,43.200001,43.200001,43.200001,0
16-05-2022,43.040001,43.040001,43.040001,43.040001,43.040001,0
17-05-2022,43.950001,43.950001,43.950001,43.950001,43.950001,0
18-05-2022,42.279999,42.279999,42.279999,42.279999,42.279999,0
19-05-2022,42.189999,42.189999,42.189999,42.189999,42.189999,0
20-05-2022,42.200001,42.200001,42.200001,42.200001,42.200001,0
23-05-2022,42.790001,42.790001,42.790001,42.790001,42.790001,0
24-05-2022,42.52,42.52,42.52,42.52,42.52,0
25-05-2022,43,43,43,43,43,0
26-05-2022,43.919998,43.919998,43.919998,43.919998,43.919998,0
27-05-2022,44.939999,44.939999,44.939999,44.939999,44.939999,0
31-05-2022,44.52,44.52,44.52,44.52,44.52,0
01-06-2022,44.049999,44.049999,44.049999,44.049999,44.049999,0
02-06-2022,44.82,44.82,44.82,44.82,44.82,0
03-06-2022,44.299999,44.299999,44.299999,44.299999,44.299999,0
06-06-2022,44.450001,44.450001,44.450001,44.450001,44.450001,0
07-06-2022,44.880001,44.880001,44.880001,44.880001,44.880001,0
08-06-2022,44.240002,44.240002,44.240002,44.240002,44.240002,0
09-06-2022,43.240002,43.240002,43.240002,43.240002,43.240002,0
10-06-2022,42.07,42.07,42.07,42.07,42.07,0
13-06-2022,40.349998,40.349998,40.349998,40.349998,40.349998,0
14-06-2022,40.130001,40.130001,40.130001,40.130001,40.130001,0
15-06-2022,40.549999,40.549999,40.549999,40.549999,40.549999,0
16-06-2022,39.09,39.09,39.09,39.09,39.09,0
17-06-2022,39.200001,39.200001,39.200001,39.200001,39.200001,0
21-06-2022,39.900002,39.900002,39.900002,39.900002,39.900002,0
